,seller_id,site_id,nickname,total
0,[298734964],['MPE'],MARIELATAQUIRE,0
1,[183049329],['MPE'],MURO8709951,0
2,[94592189],['MPE'],ILLARYPERU,0
3,[520133997],['MPE'],ISABELLADELPOZO,0
4,[684964436],['MPE'],PHMO1747353,0
5,[685079498],['MPE'],MELISSASUSANAARVALOSANTAYA,0
6,[646068761],['MPE'],YOMIDELGADOSNCHEZ,0
7,[685310649],['MPE'],DONATILDONATILDECORREATIMOTECO,0
8,[685419864],['MPE'],VANESSAURNER,0
9,[285674870],['MPE'],ERICKLOPEZUSMSYA,0
10,[685275449],['MPE'],DANIELARUIZRIDRIGUES,0
11,[48893023],['MPE'],MARCELASUSAN,0
12,[603331827],['MPE'],COVA1031117,0
13,[205264135],['MPE'],GOBR7283790,0
14,[580279940],['MPE'],LORDVENCEDOR,0
15,[300834652],['MPE'],DANIELAHILARIORAMOS,0
16,[270322958],['MPE'],JHONANTHONYCAYLLAHUAMALASQU,0
17,[684554092],['MPE'],OSORIOCOLQUIJESSMIGUEL,0
18,[644166286],['MPE'],GOEL1504737,0
19,[685449106],['MPE'],ISABELSNCHEZMEDINA,0
